 order_id; datum;klant;product;categorie;aantal;prijs
1;18-9-2026;Louise M. Watterson;Muis;Accessoires;3;25,99
2;18-9-2026;Derrick C. Russo;USB-hub;Accessoires;2;83,4
3;18-9-2026;Craig A. Harris;Monitor;Overig;1;300,9
4;18-9-2026;Catina R. Simms;Toetsenboard;Accessoires;2;31,4
5;18-9-2026;Timothy S. Noack;Bureaustoel;Meubels;5;450,99
6;18-9-2026;Shannon C. Brook;Muis;Accessoires;3;24,2
7;18-9-2026;Wayne S. Peterman;USB-hub;Accessoires;5;67,9
8;18-9-2026;Bonnie T. Bates;Monitor;Overig;2;560,99
9;18-9-2026;Willie K. Stodola;Bureaustoel;Meubels;1;450,99
10;18-9-2026;Nancy A. Powers;Muis;Accessoires;7;25,99
11;18-9-2026;Dorothy A. Holland;Monitor;Overig;3;470
12;18-9-2026;David B. Adkins;Computer;Computer;8;1200,99
13;18-9-2026;Fernando H. Watkins;Bureaustoel;Meubels;2;450,99
14;18-9-2026;Terri T. Sussman;Monitor;Overig;3;600
15;18-9-2026;Brian L. Carr;USB-hub;Accessoires;7;83,4
16;18-9-2026;Shawn D. Gay;Monitor;Overig;8;300
17;18-9-2026;Lewis E. Smith;Bureaustoel;Meubels;9;450,99
18;18-9-2026;Todd K. Wheeler;Muis;Accessoires;5;24,2
19;18-9-2026;Ursula C. Torres;Monitor;Overig;7;470,5
20;18-9-2026;Arthur B. Milburn;Computer;Computer;8;980,99
21;18-9-2026;Derrick C. Russo;Monitor;Overig;5;300,9
22;18-9-2026;David B. Adkins;Monitor;Overig;8;470
